wikidata_id,label,deleted,dfk_id,or_id,or_label,dfkv_id,dfkv_label,pb_id,pb_label
wikidata_id,label,deleted,dfk_id,or_id,or_label,dfkv_id,dfkv_label,pb_id,pb_label
,,,DFK0006431204,18819,"Adams, Vicky",,,,
,,,DFK0006250923,18748,"Adolph, Friedrich",,,,
,,,DFK0008936506,10083,"Arnim, Arnim",,,,
,,,DFK0007204119,19207,"Artamanow, Mikolaj",,,,
,,,DFK0004935406,19544,"Abakalowa, N.",,,,
,,,DFK0000105849,19705,"Antal, Istvan",,,,
,,,DFK0005928111,20013,"Avramides, Avramides",,,,
,,,DFK0009655791,20021,"Alavoine, Alavoine",,,,
,,,DFK0003514930,20034,"Artain, Jacques",,,,
,,,DFK0002318839,20082,"Anders, Thomas",,,,
,,,DFK0004889073,20224,"Akkermann, Alfred",,,,
,,,DFK0006303390,20234,"Ahlheit, Horst",,,,
,,,DFK0007469824,20273,"Antoni, Ernst",,,,
,,,DFK0006454362,20512,"A. N., A. N.",,,,
,,,DFK0005409604,20627,"Aral, Yves",,,,
,,,DFK0004357097,20722,"Asleep, Julia",,,,
,,,DFK0005335297,8939,"Arensberg, Lou",,,,
,,,DFK0001010515,21545,"Bouchet, Renaud",,,,
,,,DFK0003634300,21551,"Bonnot, Thierry",,,,
,,,DFK0009898119,10265,"Bremer, Maria",,,,
,,,DFK0000717669,18428,"Becker, Jürgen",,,,
,,,DFK0001861270,21714,"Boundas, Constantin V.",,,,
,,,DFK0000661279,21594,"Bardonne, Paul",,,,
,,,DFK0005668339,21609,"Brunet, Laurent",,,,
,,,DFK0000244293,21378,"Budzyk, Justyna",,,,
,,,DFK0006725164,21865,"Blum, Eberhard",,,,
,,,DFK0002441486,21479,"Bellet, Madeleine",,,,
,,,DFK0000107878,14178,"Bader, Alfred",,,,
,,,DFK0005485741,21010,"Bechtloff, Dieter",,,,
,,,DFK0008724741,14252,"Bouyeure, Claude",,,,
,,,DFK0003474018,13802,"Bogucki, Michal",,,,
,,,DFK0004460271,14423,"Baratella, Baratella",,,,
,,,DFK0003102325,14947,"Bernardini, Bernardini",,,,
,,,DFK0003864059,14952,"Brusse, Marc",,,,
,,,DFK0004682617,14953,"Buri, Buri",,,,
,,,DFK0003240667,16624,"Berne-Jeoffroy, André",,,,
,,,DFK0006289008,15557,"Buschbaum, Norbert",,,,
,,,DFK0009082553,15567,"Bourdin, Hervé",,,,
,,,DFK0009894996,10185,"Blazeje, Zbigniew",,,,
,,,DFK0006319048,16287,"Bosquet, Patrick",,,,
,,,DFK0008903869,16292,"Birkenmeyer, Hans",,,,
,,,DFK0007105046,2850,"Blanc, Charles",,,,
,,,DFK0008436576,15391,"Brandler, Gunhild",,,,
,,,DFK0002250388,16323,"Brunnhumer, Manfred",,,,
,,,DFK0002367037,16532,"Bergman, Stephan",,,,
,,,DFK0006652767,16493,"Berenizcki, Kiejstut",,,,
,,,DFK0000352287,16502,"Bucki, Krysztof",,,,
,,,DFK0001106645,16665,"Beauffret, Jacques",,,,
,,,DFK0006118019,16972,"Berg, Camille",,,,
