wikidata_id|label|fr_label|hide|deleted|dfk_id|or_id|or_label|dfkv_id|dfkv_label|pb_id|pb_label|fs_id|fs_label|av_id|av_label
|Snow, Mike||0||DFK0005593520|18867|Snow, Mike||||||||
|||0|yes|DFK0000551537|6648|Schlegel, Schlegel||||||||
|Scott, Timm||0||DFK0000937866|18889|Scott, Timm||||||||
|Skoczylas, Joanna||0||DFK0002231631|18904|Skoczylas, Joanna||||||||
|Semper||0|yes|DFK0000314195|6937|Semper, Semper||||||||
|Stoev, Dagmar||0||DFK0002692063|18848|Stoev, Dagmar||||||||
|Schütz, Sabine||0|yes|DFK0003355166|8701|Schütz, Sabine||||||||
|Sosnowski, Aleksander||0||DFK0000638482|19101|Sosnowski, Aleksander||||||||
|Spertus||0||DFK0006396496|19114|Spertus, Spertus||||||||
|Siegfried||0|yes|DFK0000363661|4127|Siegfried, Siegfried||||||||
|Seawright, N.||0||DFK0009085568|19080|Seawright, N.||||||||
|Stein, Judith||0||DFK0004997525|19057|Stein, Judith||||||||
|Scremini, Claire||0||DFK0009764378|19352|Scremini, Claire||||||||
|Staniszewski, Eugeniusz||0||DFK0001838924|19312|Staniszewski, Eugeniusz||||||||
|Straus, Erwin||0||DFK0007356847|19585|Straus, Erwin||||||||
|Schmidt, Burckhardt||0||DFK0002666664|19383|Schmidt, Burckhardt||||||||
|Scherrer, Jacob||0||DFK0004511617|19608|Scherrer, Jacob||||||||
|Seligman, Kurt||0|yes|DFK0006347061|7612|Seligman, Kurt||||||||
|Szczurbuła, Marian||0||DFK0006119449|19934|Szczurbuła, Marian||||||||
|Sienkin, Siergiej||0||DFK0007833254|19946|Sienkin, Siergiej||||||||
|Samochwalow, A.N. (19962)||0||DFK0003590216|19964|Samochwalow, A.N. (19962)||||||||
|Schmidt, Jürgen||0||DFK0007152289|20128|Schmidt, Jürgen||||||||
|Schulze, Hartmut||0||DFK0008031764|20183|Schulze, Hartmut||||||||
|Schmitt-Sasse, Joachim||0||DFK0000200143|20164|Schmitt-Sasse, Joachim||||||||
|Sissis, Kostas||0||DFK0005441435|20350|Sissis, Kostas||||||||
|Schirmbeck, Hans-Jörg||0||DFK0002384766|20357|Schirmbeck, Hans-Jörg||||||||
|Schenk, Francis||0||DFK0008141406|20362|Schenk, Francis||||||||
|Scheffler, Karl||0|yes|DFK0009793735|19|Scheffler, Karl||||||||
|Söder, Gerlint||0||DFK0009974555|20319|Söder, Gerlint||||||||
|Stütz, Hannes||0||DFK0007011523|20414|Stütz, Hannes||||||||
|Stümpel, K.||0||DFK0004966187|20552|Stümpel, K.||||||||
|Scheidt, F. A.||0||DFK0001042008|20536|Scheidt, F. A.||||||||
|Schwarz, R.||0||DFK0004337138|20559|Schwarz, R.||||||||
|Segantini||0|yes|DFK0007118904|2327|Segantini, Segantini||||||||
|Stubbe, W.||0|yes|DFK0001561274|9137|Stubbe, W.||||||||
|Słomiński, Jerzy||0||DFK0004012761|21082|Słomiński, Jerzy||||||||
|Saphire, Lawrence||0||DFK0003882157|21116|Saphire, Lawrence||||||||
|Schubert, Claudia||0||DFK0002194013|21131|Schubert, Claudia||||||||
|Sowa, Jan||0||DFK0005886756|21292|Sowa, Jan||||||||
|Spungen, Nancy||0||DFK0005671543|21045|Spungen, Nancy||||||||
|Skov, Marie Arleth||0||DFK0003072192|20895|Skov, Marie Arleth||||||||
|Stanieszewski, Jacek||0||DFK0003643565|21222|Stanieszewski, Jacek||||||||
|Stepken, Angelika||0||DFK0008649942|21225|Stepken, Angelika||||||||
|Spichrzów, Wyspa||0||DFK0009856247|21236|Spichrzów, Wyspa||||||||
|Schmitt, Carl||0||DFK0002765711|21196|Schmitt, Carl||||||||
|Steiner, Rudolf||0|yes|DFK0001025235|6362|Steiner, Rudolf||||||||
|Schiller, Johann Christoph Friedrich von||0|yes|DFK0002815275|2389|Schiller, Johann Christoph Friedrich von||||||||
|Servanes, Sergio Mǫyano||0|yes|DFK0001701008|9705|Servanes, Sergio Mǫyano||||||||
|Sonntag, Jörg||0||DFK0003394508|15960|Sonntag, Jörg||||||||
|Speer, Albert||0|yes|DFK0000343816|9738|Speer, Albert||||||||
|Schulz, Richard L. F.||0|yes|DFK0003987026|7391|Schulz, Richard L. F.||||||||
|Schumacher, Emil||0|yes|DFK0009235950|8483|Schumacher, Emil||||||||
|Schmitt, Ulrike||0||DFK0002736750|21692|Schmitt, Ulrike||||||||
