wikidata_id|label|fr_label|hide|deleted|dfk_id|or_id|or_label|dfkv_id|dfkv_label|pb_id|pb_label|fs_id|fs_label|av_id|av_label
|Ameline, Jean-Paul||0||DFK0006150565|21666|Ameline, Jean-Paul||||||||
|Artozoul, René||0||DFK0002612404|13221|Artozoul, René||||||||
|Allara, Pamela||0||DFK0001815718|21634|Allara, Pamela||||||||
|Arnauld, Pierre||0||DFK0000617253|21642|Arnauld, Pierre||||||||
|Argence, Guy||0||DFK0003196364|16457|Argence, Guy||||||||
|Amine, Patrick||0||DFK0000366857|20969|Amine, Patrick||||||||
|Arlt, Joachim||0||DFK0009026944|15678|Arlt, Joachim||||||||
|||0||DFK0009582853|10611|Albrecht D., Albrecht||||||||
|Abedine, Dino||0||DFK0008266056|16964|Abedine, Dino||||||||
|Amblard||0||DFK0005174004|10727|Amblard, Amblard||||||||
|André, Maurice||0||DFK0004718181|11032|André, Maurice||||||||
|Alkesiun, Jan||0||DFK0004973588|17220|Alkesiun, Jan||||||||
|Artymowska, Roman||0||DFK0002816486|19183|Artymowska, Roman||||||||
|André||1|yes|DFK0000268997|6105|André, André||||||||
|Armitage, Edwards||0||DFK0006505834|10276|Armitage, Edwards|||||10276|Armitage, Edwards||
|A. Y.||1||DFK0009956388|20705|A. Y., A. Y.||||||||
|Aronson, Chil||0||DFK0006539038|13209|Aronson, Chil||||||||
|Averkion||0||DFK0005728500|13167|Averkion, Averkion||||||||
|Albert, Peter||0||DFK0008656170|13790|Albert, Peter||||||||
|Amidou, Dausou||0||DFK0007010583|13475|Amidou, Dausou||||||||
|Abbott||0||DFK0008256841|14582|Abbott, Abbott||||||||
|Ando, Nana||0||DFK0004713756|14641|Ando, Nana||||||||
|Alessandrini, Paul||0||DFK0004733859|14563|Alessandrini, Paul||||||||
|Aragon, Carlo||0||DFK0007170597|15083|Aragon, Carlo||||||||
|Aubiet, Félix||0||DFK0009248244|15319|Aubiet, Félix||||||||
|Anavik, Geir||0||DFK0000446901|15337|Anavik, Geir||||||||
|Albertario, Carlo||0||DFK0003243916|15607|Albertario, Carlo||||||||
|Andral, Jean-Louis||0||DFK0000761622|16597|Andral, Jean-Louis||||||||
|Anastasiu, Cristina||0||DFK0008673979|18551|Anastasiu, Cristina||||||||
|Ariet, Suzanne||0||DFK0008620771|18658|Ariet, Suzanne||||||||
|Almon, Carmen||0||DFK0001837723|19049|Almon, Carmen||||||||
|Aloyse||0||DFK0008911613|19606|Aloyse, Aloyse||||||||
|Adrian||0||DFK0006227868|19597|Adrian, Adrian||||||||
|Aujane||0||DFK0001624654|19991|Aujane, Aujane||||||||
|Audigier, Raymond||0||DFK0002728597|19827|Audigier, Raymond||||||||
|Adrion||0|yes|DFK0002397850|5168|Adrion, Adrion||||||||
|Adam, François||0|yes|DFK0003393361|5691|Adam, François||||||||
|A. H.||1||DFK0000577269|20109|A. H., A. H.||||||||
|Alexander, Sidney||0||DFK0007164373|20325|Alexander, Sidney||||||||
|Apelnstedt||0||DFK0004453580|20553|Apelnstedt, Apelnstedt||||||||
|Arnoux, Mathilde||0||DFK0005960789|10589|Arnoux, Mathilde||||||||
|Alisauskas, Alexandra||0||DFK0003400257|20972|Alisauskas, Alexandra||||||||
|Ackermann||0|yes|DFK0008783794|6688|Ackermann, Ackermann||||||||
|Andersen, Eric||0||DFK0000600216|14806|Andersen, Eric||||||||
|Axtmann, Alexandra Carmen||0||DFK0008533508|21471|Axtmann, Alexandra Carmen||||||||
|Adrion, Irma||0||DFK0008181808|19829|Adrion, Irma||||||||
|Arnold, Ingo||0||DFK0001464559|14644|Arnold, Ingo||||||||
|Adam, Henri||0||DFK0000128765|21781|Adam, Henri||||||||
|Albert-Levin, Marc||0||DFK0002702854|21134|Albert-Levin, Marc||||||||
|Adamson, Natalie||0||DFK0007754718|21783|Adamson, Natalie||||||||
|Ampe-Jonas, Thérèse||0||DFK0004309371|18325|Ampe-Jonas, Thérèse||||||||
|Aizipiri, Paul||0||DFK0008925756|16944|Aizipiri, Paul||||||||
|Antonsziewicz, Maria||0||DFK0002958933|17119|Antonsziewicz, Maria||||||||
|Albering, Geraldine||0||DFK0001263853|17596|Albering, Geraldine||||||||
|Auriac||0||DFK0005907891|18225|Auriac, Auriac||||||||
|Aljanvic||0||DFK0008855737|18230|Aljanvic, Aljanvic||||||||
|Alleaume, Benoît||0||DFK0006945573|13220|Alleaume, Benoît||||||||
|Arnold, Walter||0|yes|DFK0008318200|9459|Arnold, Walter||||||||
|Arborst, Hans||0||DFK0007608653|19902|Arborst, Hans||||||||
|Anouij||0||DFK0006812043|10836|Anouij, Anouij||||||||
|Annelsy, David||0||DFK0009051958|10845|Annelsy, David||||||||
|Andre||1||DFK0001149500|11147|Andre, Andre||||||||
|Abrahams||0||DFK0009014953|11345|Abrahams, Abrahams||||||||
|August, Paul||0||DFK0008212964|11250|August, Paul||||||||
|Althoff, Thomas||0||DFK0002406261|12043|Althoff, Thomas||||||||
|Aubergé, Nathalie||0||DFK0001299961|12069|Aubergé, Nathalie||||||||
|Andersen, Henning||0||DFK0001760400|12477|Andersen, Henning||||||||
|Anders, Henryk||0||DFK0006372300|13343|Anders, Henryk||||||||
|Atapkowa-Gretschina, Olga||0||DFK0005428314|13637|Atapkowa-Gretschina, Olga||||||||
|Altmann, Peter||0||DFK0001100298|13640|Altmann, Peter||||||||
|Antecka, Jozefa||0||DFK0000046153|13673|Antecka, Jozefa||||||||
|Avruscio-Becker, Helga||0||DFK0003984889|14154|Avruscio-Becker, Helga||||||||
|Althainz, Eva||0||DFK0004016586|14211|Althainz, Eva||||||||
|Arakawa||0||DFK0003923785|14473|Arakawa, Arakawa||||||||
|||0||DFK0007266737|14466|Aicock, Alice||||||||
|Anderson, Aagard||0||DFK0007033776|14404|Anderson, Aagard||||||||
|Atlanow, J.M.||0||DFK0001875871|14933|Atlanow, J.M.||||||||
|Awadh, Ali||0||DFK0009454269|14937|Awadh, Ali||||||||
|Acosta, Roberto||0||DFK0005632590|15263|Acosta, Roberto||||||||
|Asis||1||DFK0009402383|15247|Asis, Asis||||||||
|A.V.||1||DFK0001968302|16099|A.V., A.V.||||||||
|Argillet, Pierre||0||DFK0001708072|16089|Argillet, Pierre||||||||
|Akerman, Janusz||0||DFK0000382829|16065|Akerman, Janusz||||||||
|Arnaudet, Didier||0||DFK0009564805|20699|Arnaudet, Didier||||||||
|Aphesbero, Michel||0||DFK0002325038|16739|Aphesbero, Michel||||||||
|Arel||1||DFK0007027841|16848|Arel, Arel||||||||
|Arndt||0|yes|DFK0000268027|8737|Arndt, Arndt||||||||
|Amelith||0||DFK0008341266|16705|Amelith, Amelith||||||||
|Ayo||1||DFK0000239509|18212|Ayo, Ayo||||||||
|Axelos||0||DFK0006703802|18162|Axelos, Axelos||||||||
|Alfaro||0||DFK0001551151|18110|Alfaro, Alfaro||||||||
|Ascari, Ferruccio||0||DFK0002102808|18815|Ascari, Ferruccio||||||||
|Adams, Vicky||0||DFK0006431204|18819|Adams, Vicky||||||||
|Adolph, Friedrich||0||DFK0006250923|18748|Adolph, Friedrich||||||||
|Arnim||0|yes|DFK0008936506|10083|Arnim, Arnim||||||||
|Artamanow, Mikolaj||0||DFK0007204119|19207|Artamanow, Mikolaj||||||||
|Abakalowa, N.||0||DFK0004935406|19544|Abakalowa, N.||||||||
|Antal, Istvan||0||DFK0000105849|19705|Antal, Istvan||||||||
|Avramides||0||DFK0005928111|20013|Avramides, Avramides||||||||
|Alavoine||0||DFK0009655791|20021|Alavoine, Alavoine||||||||
|Artain, Jacques||0||DFK0003514930|20034|Artain, Jacques||||||||
|Anders, Thomas||0||DFK0002318839|20082|Anders, Thomas||||||||
|Akkermann, Alfred||0||DFK0004889073|20224|Akkermann, Alfred||||||||
|Ahlheit, Horst||0||DFK0006303390|20234|Ahlheit, Horst||||||||
|Antoni, Ernst||0||DFK0007469824|20273|Antoni, Ernst||||||||
|A. N.||1||DFK0006454362|20512|A. N., A. N.||||||||
|Aral, Yves||0||DFK0005409604|20627|Aral, Yves||||||||
|Asleep, Julia||0||DFK0004357097|20722|Asleep, Julia||||||||
|Arensberg, Lou||0|yes|DFK0005335297|8939|Arensberg, Lou||||||||
|Bouchet, Renaud||0||DFK0001010515|21545|Bouchet, Renaud||||||||
|Bonnot, Thierry||0||DFK0003634300|21551|Bonnot, Thierry||||||||
|Bremer, Maria||0||DFK0009898119|10265|Bremer, Maria||||||||
|Becker, Jürgen||0||DFK0000717669|18428|Becker, Jürgen||||||||
|Boundas, Constantin V.||0||DFK0001861270|21714|Boundas, Constantin V.||||||||
|Bardonne, Paul||0||DFK0000661279|21594|Bardonne, Paul||||||||
|Brunet, Laurent||0||DFK0005668339|21609|Brunet, Laurent||||||||
|Budzyk, Justyna||0||DFK0000244293|21378|Budzyk, Justyna||||||||
|Blum, Eberhard||0||DFK0006725164|21865|Blum, Eberhard||||||||
|Bellet, Madeleine||0||DFK0002441486|21479|Bellet, Madeleine||||||||
|Bader, Alfred||0||DFK0000107878|14178|Bader, Alfred||||||||
|Bechtloff, Dieter||0||DFK0005485741|21010|Bechtloff, Dieter||||||||
|Bouyeure, Claude||0||DFK0008724741|14252|Bouyeure, Claude||||||||
|Bogucki, Michal||0||DFK0003474018|13802|Bogucki, Michal||||||||
|Baratella||0||DFK0004460271|14423|Baratella, Baratella||||||||
|Bernardini||0||DFK0003102325|14947|Bernardini, Bernardini||||||||
|Brusse, Marc||0||DFK0003864059|14952|Brusse, Marc||||||||
|Buri||1||DFK0004682617|14953|Buri, Buri||||||||
|Berne-Jeoffroy, André||0||DFK0003240667|16624|Berne-Jeoffroy, André||||||||
|Buschbaum, Norbert||0||DFK0006289008|15557|Buschbaum, Norbert||||||||
|Bourdin, Hervé||0||DFK0009082553|15567|Bourdin, Hervé||||||||
|Blazeje, Zbigniew||0||DFK0009894996|10185|Blazeje, Zbigniew||||||||
|Bosquet, Patrick||0||DFK0006319048|16287|Bosquet, Patrick||||||||
|Birkenmeyer, Hans||0||DFK0008903869|16292|Birkenmeyer, Hans||||||||
|Blanc, Charles||0|yes|DFK0007105046|2850|Blanc, Charles||||||||
|Brandler, Gunhild||0||DFK0008436576|15391|Brandler, Gunhild||||||||
|Brunnhumer, Manfred||0||DFK0002250388|16323|Brunnhumer, Manfred||||||||
|Bergman, Stephan||0||DFK0002367037|16532|Bergman, Stephan||||||||
|Berenizcki, Kiejstut||0||DFK0006652767|16493|Berenizcki, Kiejstut||||||||
|Bucki, Krysztof||0||DFK0000352287|16502|Bucki, Krysztof||||||||
|Beauffret, Jacques||0||DFK0001106645|16665|Beauffret, Jacques||||||||
|Berg, Camille||0||DFK0006118019|16972|Berg, Camille||||||||
|Burger||0|yes|DFK0002138909|3553|Burger, Burger||||||||
|Beham||0|yes|DFK0003297174|9326|Beham, Beham||||||||
|Beski, Jerzy||0||DFK0006201741|17252|Beski, Jerzy||||||||
|Boroczak, Jan||0||DFK0008640562|17253|Boroczak, Jan||||||||
|Bererezowski, Ludwik||0||DFK0009901769|17510|Bererezowski, Ludwik||||||||
|Balcerzak||0||DFK0001329136|17517|Balcerzak, Balcerzak||||||||
|Bronowski, Tomasz||0||DFK0009996034|14841|Bronowski, Tomasz||||||||
|Bojarski, Ryszard||0||DFK0002487047|17713|Bojarski, Ryszard||||||||
|Bakalarczyk, Zbigniew||0||DFK0002626391|17785|Bakalarczyk, Zbigniew||||||||
|Barcicka, Janina||0||DFK0005003220|17817|Barcicka, Janina||||||||
|Borowski, Winicjusz||0||DFK0005637311|17820|Borowski, Winicjusz||||||||
|Bodusławski, Tomasz||0||DFK0000341516|17928|Bodusławski, Tomasz||||||||
|Brune, Marie||0||DFK0005213413|17847|Brune, Marie||||||||
|Bytomski, Engelbert||0||DFK0005879941|17856|Bytomski, Engelbert||||||||
|Brewal, Jose||0||DFK0006356041|19843|Brewal, Jose||||||||
|||0||DFK0009889093|13967|Boldok, Slawomir||||||||
|Berezianski, Andrzej||0||DFK0009350628|11750|Berezianski, Andrzej||||||||
|Bernard, Claude||0||DFK0000297796|10713|Bernard, Claude||||||||
|Biasi||0||DFK0003442838|10965|Biasi, Biasi||||||||
|Baker, George||0||DFK0008668512|10909|Baker, George||||||||
|Burggaller||0||DFK0009084397|10920|Burggaller, Burggaller||||||||
|Baer||1|yes|DFK0005510055|4690|Baer, Baer||||||||
|Bednorz||0||DFK0009650120|10898|Bednorz, Bednorz||||||||
|Bremer, Rosemarie||0||DFK0004171544|10903|Bremer, Rosemarie||||||||
|Bertini||0|yes|DFK0005505485|8620|Bertini, Bertini||||||||
|Bergmann, Gerhard||0|yes|DFK0006066988|9513|Bergmann, Gerhard||||||||
|Bennedix, Rolf||0||DFK0002756176|11646|Bennedix, Rolf||||||||
|Berggruen||0||DFK0007656743|11611|Berggruen, Berggruen||||||||
|Bachmann, Eberhard||0||DFK0009880698|11715|Bachmann, Eberhard||||||||
|Breuste, H. J.||0||DFK0002421023|11776|Breuste, H. J.||||||||
|Baier, Wolfgang||0||DFK0001114858|12122|Baier, Wolfgang||||||||
|Briese, Peter||0||DFK0005103859|12458|Briese, Peter||||||||
|Burckhardt, Klaus||0||DFK0003130592|12229|Burckhardt, Klaus||||||||
|Bauer, Lothar||0||DFK0005760357|13017|Bauer, Lothar||||||||
|Buch, Jörgen||0||DFK0009664925|12958|Buch, Jörgen||||||||
|Brix, Karl||0||DFK0002154284|12941|Brix, Karl||||||||
|Benoît, Gérard||0||DFK0002075543|13227|Benoît, Gérard||||||||
|Bognar, Arpad||0||DFK0006766227|13881|Bognar, Arpad||||||||
|Becker, Jan||0||DFK0000387831|13341|Becker, Jan||||||||
|Beckmann, Kurt||0||DFK0003791893|18453|Beckmann, Kurt||||||||
|Batsuch, Lamjaw||0||DFK0004122921|13186|Batsuch, Lamjaw||||||||
|Barylko, Mieczwslaw||0||DFK0002366562|13331|Barylko, Mieczwslaw||||||||
|Bohdziewicz, Emilia||0||DFK0004740737|11977|Bohdziewicz, Emilia||||||||
|Bernard, Pierre||0||DFK0002852432|13507|Bernard, Pierre||||||||
|Beck, James||0||DFK0008065687|13511|Beck, James||||||||
|Biereznicki, Kiejstun||0||DFK0005913810|13603|Biereznicki, Kiejstun||||||||
|Bochynek, Martin||0||DFK0007871513|13463|Bochynek, Martin||||||||
|Blachnio, Henryk||0||DFK0001078097|13963|Blachnio, Henryk||||||||
|||0||DFK0003363781|13988|Buczynska, Ewa||||||||
|Banaszewski, Roman||0||DFK0006315716|13989|Banaszewski, Roman||||||||
|||0||DFK0007412335|14103|Burckardt, Lucius||||||||
|Burkhard, Linde||0||DFK0000479991|14341|Burkhard, Linde||||||||
|Bischel, Peter||0||DFK0009774663|14356|Bischel, Peter||||||||
|Buri, Pol||0||DFK0007902851|11401|Buri, Pol||||||||
|Bond, Edward||0||DFK0006089107|11120|Bond, Edward||||||||
|Butkewitsch, Oleg||0||DFK0009460417|14598|Butkewitsch, Oleg||||||||
|||0||DFK0001961565|14615|Bergmann, Ingmar||||||||
|Bakès-Clément, Catherine||0||DFK0003256725|14560|Bakès-Clément, Catherine||||||||
|Bernard, Michel||0||DFK0000686006|14561|Bernard, Michel||||||||
|Bittenbinder, Janos||0||DFK0006890181|15058|Bittenbinder, Janos||||||||
|Baraniecki, Karel||0||DFK0007033190|15039|Baraniecki, Karel||||||||
|Bognoli, Marco||0||DFK0000503209|15351|Bognoli, Marco||||||||
|Białek, Piotr||0||DFK0005493883|15735|Białek, Piotr||||||||
|Basilew, Sergej N.||0||DFK0007902741|15646|Basilew, Sergej N.||||||||
|Berntson, Hans-Ragnar||0||DFK0004955444|15660|Berntson, Hans-Ragnar||||||||
|Björnsdottir, Sigridur||0||DFK0004093121|15499|Björnsdottir, Sigridur||||||||
|Bruni||1||DFK0003681552|15636|Bruni, Bruni||||||||
|Bruegel, Jan||0|yes|DFK0005397179|9349|Bruegel, Jan||||||||
|Barucello, Gianfranco||0||DFK0007574011|15932|Barucello, Gianfranco||||||||
|Bachollet, Jean-Paul||0||DFK0000956971|16254|Bachollet, Jean-Paul||||||||
|Barré, B.||0||DFK0001041398|16258|Barré, B.||||||||
|Bigourdan, Jean-Louis||0||DFK0007279776|16211|Bigourdan, Jean-Louis||||||||
|Burghartz, Max||0||DFK0009853099|16363|Burghartz, Max||||||||
|Barthel, Gunnar||0||DFK0004760234|16198|Barthel, Gunnar||||||||
|Bartolini||0||DFK0005971500|16402|Bartolini, Bartolini||||||||
|Bordaz, Jean-Philippe||0||DFK0005998068|16442|Bordaz, Jean-Philippe||||||||
|Bartholomé||0|yes|DFK0006324155|2114|Bartholomé, Bartholomé||||||||
|Besson, Christian||0||DFK0000651096|16458|Besson, Christian||||||||
|Bach||1|yes|DFK0004529380|6132|Bach, Bach||||||||
|Baudier, Denis||0||DFK0009191904|16678|Baudier, Denis||||||||
|Bataillon, Françoise||0||DFK0006455169|16611|Bataillon, Françoise||||||||
|Brejnev||0||DFK0006382369|16382|Brejnev, Brejnev||||||||
|Baltrusaitis||0||DFK0004319841|16925|Baltrusaitis, Baltrusaitis||||||||
|Brignone, Annie||0||DFK0004528763|16961|Brignone, Annie||||||||
|Busman, Peter||0||DFK0001478875|17009|Busman, Peter||||||||
|Buczkowski||0||DFK0007083360|18069|Buczkowski, Buczkowski||||||||
|Bahr, Aldred||0|yes|DFK0000270492|5964|Bahr, Aldred||||||||
|Benazzi||0||DFK0007599192|18108|Benazzi, Benazzi||||||||
|Boisserée, Brüder|Boisserée, Frères|0||DFK0001602604|9948|Boisserée, Frères||||||||
|Bourges, Alain||0||DFK0009104165|18585|Bourges, Alain||||||||
|Brunart, Pascal||0||DFK0008706483|18594|Brunart, Pascal||||||||
|Bayerthal, Friedrich||0||DFK0009647081|18671|Bayerthal, Friedrich||||||||
|Bissière, Caroline||0||DFK0008348866|18678|Bissière, Caroline||||||||
|Bandini, Mireilla||0||DFK0001131472|18649|Bandini, Mireilla||||||||
|Bonacic||0||DFK0003119043|18540|Bonacic, Bonacic||||||||
|Butler, Samuel||0||DFK0008294685|18507|Butler, Samuel||||||||
|Boué, François||0||DFK0007906523|18854|Boué, François||||||||
|Breuer, Josef||0|yes|DFK0001578355|8469|Breuer, Josef||||||||
|Bogustowa, Ruta||0||DFK0007536922|19064|Bogustowa, Ruta||||||||
|Blaaderen, Maria van||0||DFK0003652743|19066|Blaaderen, Maria van||||||||
|Bock, Anna||0||DFK0007165144|19035|Bock, Anna||||||||
|Boslett, Eberhard||0||DFK0002980188|19424|Boslett, Eberhard||||||||
|Bellido, Tio||0||DFK0003555846|19354|Bellido, Tio||||||||
|Breughel||0||DFK0002153118|3168|Breughel, Breughel||||||||
|Bongiovanni, Michel||0||DFK0000070278|19372|Bongiovanni, Michel||||||||
|Burrus, Claire||0||DFK0005567494|19351|Burrus, Claire||||||||
|Bonarski, Andrzej||0||DFK0005972471|19306|Bonarski, Andrzej||||||||
|Bełka, Mirosław||0||DFK0002634333|19321|Bełka, Mirosław||||||||
|Boyle, Robert||0||DFK0006703503|19391|Boyle, Robert||||||||
|Barros, Mercedes||0||DFK0008155074|19572|Barros, Mercedes||||||||
|Beaugrand, C.||0||DFK0002557153|19578|Beaugrand, C.||||||||
|Berganus, John-Erik||0||DFK0001484180|19599|Berganus, John-Erik||||||||
|Bédia, José||0||DFK0001925031|19632|Bédia, José||||||||
|Bernstein||0||DFK0000227105|19611|Bernstein, Bernstein||||||||
|Brauner, Vincent||0||DFK0001144382|19935|Brauner, Vincent||||||||
|Biskupska, Bożena||0||DFK0001244441|19966|Biskupska, Bożena||||||||
|Boulboullé, Guido||0||DFK0005658531|20154|Boulboullé, Guido||||||||
|Böde, Dieter||0||DFK0008197262|20343|Böde, Dieter||||||||
|Bernhardt, Gunter||0||DFK0009247044|20345|Bernhardt, Gunter||||||||
|Baumeister, Ernst||0||DFK0002651869|19535|Baumeister, Ernst||||||||
|Becerra, Luis German||0||DFK0009663108|20589|Becerra, Luis German||||||||
|Baktschew||0||DFK0000743630|20550|Baktschew, Baktschew||||||||
|Begas, Carl||0|yes|DFK0005269451|4292|Begas, Carl||||||||
|Bond, James||0||DFK0006985382|21248|Bond, James||||||||
|Baudson, Michel||0||DFK0005906031|21173|Baudson, Michel||||||||
|Bonk, Siegfried||0||DFK0008671491|21174|Bonk, Siegfried||||||||
|Brewińska, Maria||0||DFK0003530278|21072|Brewińska, Maria||||||||
|Brucz, Stanislaw||0||DFK0004575127|21307|Brucz, Stanislaw||||||||
|Benjamin, Andrew||0||DFK0006796719|21166|Benjamin, Andrew||||||||
|Bürger, Peter||0||DFK0000990243|17292|Bürger, Peter||||||||
|Busbea, Larry||0||DFK0000622688|21186|Busbea, Larry||||||||
|Bossak Herbst, Barbara||0||DFK0002677764|21228|Bossak Herbst, Barbara||||||||
|Büchner, Tely||0||DFK0002936655|21261|Büchner, Tely||||||||
|Bradley, Rizvana||0||DFK0000037764|21265|Bradley, Rizvana||||||||
|Barbut, Clélia||0||DFK0006768840|21321|Barbut, Clélia||||||||
|Baley, Katarzyna||0||DFK0000486977|21420|Baley, Katarzyna||||||||
|Borowski, Wiesław||0||DFK0009084898|14896|Borowski, Wiesław||||||||
|Boswell, Peter||0||DFK0004285371|21679|Boswell, Peter||||||||
|Barańczyk, Antoni||0||DFK0005891664|21532|Barańczyk, Antoni||||||||
|Biras, Francis||0||DFK0002651973|10960|Biras, Francis||||||||
|Bosbach, Lisa||0||DFK0008099892|21561|Bosbach, Lisa||||||||
|Beiler, Berthold||0||DFK0001699034|12120|Beiler, Berthold||||||||
|Bertonati, Emiliio||0||DFK0007137199|20903|Bertonati, Emiliio||||||||
|Borowski, Włodek||0||DFK0000794122|21367|Borowski, Włodek||||||||
|Beauffet, Jacques||0||DFK0009917392|14450|Beauffet, Jacques||||||||
|Block, Ursula||0||DFK0005954450|21886|Block, Ursula||||||||
|Buddemeier, Heinz||0||DFK0006102340|12112|Buddemeier, Heinz||||||||
|Bisanz, Elize||0||DFK0004374885|21141|Bisanz, Elize||||||||
|Beyer, Ingrid||0||DFK0003851639|11073|Beyer, Ingrid||||||||
|Braun, Matthias||0||DFK0006848401|21144|Braun, Matthias||||||||
|Bock, Dieter||0||DFK0004687291|12944|Bock, Dieter||||||||
|Bajdor, Alicja||0||DFK0002967794|20532|Bajdor, Alicja||||||||
|Bechczyc-Rudnika, Maria||0||DFK0002951941|21837|Bechczyc-Rudnika, Maria||||||||
|Breuil||0|yes|DFK0006207348|9770|Breuil, Breuil||||||||
|Blanc, Jacques||0||DFK0006957687|18333|Blanc, Jacques||||||||
|Bertrand||0|yes|DFK0009554129|5415|Bertrand, Bertrand||||||||
|Bounoure, Michelie||0||DFK0007187190|18339|Bounoure, Michelie||||||||
|Breck, Frédérik||0||DFK0000527611|18341|Breck, Frédérik||||||||
|Briand, Alain||0||DFK0008614752|18343|Briand, Alain||||||||
|Burke, Alex||0||DFK0008381001|18346|Burke, Alex||||||||
|Bakalarczyk, Jan||0||DFK0009010442|17537|Bakalarczyk, Jan||||||||
|Brzozowski, Marek||0||DFK0004513411|17541|Brzozowski, Marek||||||||
|Brockstedt, Konrad||0||DFK0000585345|16486|Brockstedt, Konrad||||||||
|Bewertz-Smolana, Izabella||0||DFK0008724267|17874|Bewertz-Smolana, Izabella||||||||
|Brzozowski, Jerzy||0||DFK0005792558|17141|Brzozowski, Jerzy||||||||
|Bors, Ryszard||0||DFK0005641585|16907|Bors, Ryszard||||||||
|Bors, Elzbieta||0||DFK0007086314|16906|Bors, Elzbieta||||||||
|Barylko-Jagaciak, Eleonora||0||DFK0001203924|16936|Barylko-Jagaciak, Eleonora||||||||
|Bogdan, Krystyna||0||DFK0000893178|17166|Bogdan, Krystyna||||||||
|Brzozowska, Danuta||0||DFK0009559227|17167|Brzozowska, Danuta||||||||
|Bielecka-Gwiazdowska, Helena||0||DFK0001013553|17190|Bielecka-Gwiazdowska, Helena||||||||
|Bielczyk, Halina||0||DFK0009156545|17145|Bielczyk, Halina||||||||
|Blonko, Kasimierz||0||DFK0002166908|17147|Blonko, Kasimierz||||||||
|Bik, Zdislaw||0||DFK0003055283|17159|Bik, Zdislaw||||||||
|Bienkowska-Klimkowska, Stanislawa||0||DFK0008581243|17162|Bienkowska-Klimkowska, Stanislawa||||||||
|Balakirew, Pawel||0||DFK0001961355|17164|Balakirew, Pawel||||||||
|Bienik, Krystina||0||DFK0001855675|17063|Bienik, Krystina||||||||
|||0||DFK0002089840|17351|Bierwiacczonek, Olgierd||||||||
|Brand-Szamborska, Stefania||0||DFK0005192475|17368|Brand-Szamborska, Stefania||||||||
|Brzęczykowski, Stanisław||0||DFK0007716076|17369|Brzęczykowski, Stanisław||||||||
|Baltar, Mireille||0||DFK0001241701|17394|Baltar, Mireille||||||||
|Baltazar||0||DFK0002927333|17395|Baltazar, Baltazar||||||||
|Brugerolles, Michel||0||DFK0005905669|17397|Brugerolles, Michel||||||||
|Beuerman, Andrej||0||DFK0000943759|17294|Beuerman, Andrej||||||||
|Bramewski, Michael||0||DFK0009700366|17295|Bramewski, Michael||||||||
|Biała, Janina||0||DFK0006482318|17616|Biała, Janina||||||||
|Bogusławska, Joanna||0||DFK0004860901|17617|Bogusławska, Joanna||||||||
|Broniek, Zofia||0||DFK0006376462|17619|Broniek, Zofia||||||||
|Buczyńska, Ewa||0||DFK0003363781|17620|Buczyńska, Ewa||||||||
|Budka, Józef||0||DFK0006817136|17621|Budka, Józef||||||||
|Brandt||0|yes|DFK0000873236|4403|Brandt, Brandt||||||||
|Bukowiecka, Waleria||0||DFK0003927155|15118|Bukowiecka, Waleria||||||||
|Brunsz, Artur||0||DFK0004140108|17968|Brunsz, Artur||||||||
|Bołtryk, Paweł||0||DFK0005367090|17961|Bołtryk, Paweł||||||||
|Bantzer||0|yes|DFK0005565112|5904|Bantzer, Bantzer||||||||
|Bernard||0|yes|DFK0001439364|2690|Bernard, Bernard||||||||
|Balickii, Stanisław Witold||0||DFK0009773912|18301|Balickii, Stanisław Witold||||||||
|Bertholle||0||DFK0000749610|10829|Bertholle, Bertholle||||||||
|Burgaud, André||0||DFK0009874408|18311|Burgaud, André||||||||
|Bitran||0|yes|DFK0000078388|9075|Bitran, Bitran||||||||
|Blanco, Julio Rando||0||DFK0007158768|19880|Blanco, Julio Rando||||||||
|Below, Peter||0||DFK0004049096|11970|Below, Peter||||||||
|Barbosa, Fabio||0||DFK0005371602|10854|Barbosa, Fabio||||||||
|||0||DFK0001095664|4157|Bayer, Hebert||||||||
|Bylina, Wojciech||0||DFK0007787142|11236|Bylina, Wojciech||||||||
|Bächler, Christa||0||DFK0004314239|11840|Bächler, Christa||||||||
|Budde, Harald Dieter||0||DFK0004169364|11859|Budde, Harald Dieter||||||||
|Beal||1||DFK0007510367|11737|Beal, Beal||||||||
|Brady, Matthew||0||DFK0007864108|11818|Brady, Matthew||||||||
|Babicz, Tadeusz||0||DFK0005209685|11900|Babicz, Tadeusz||||||||
|Boerne, Armin||0||DFK0007747603|12044|Boerne, Armin||||||||
|||0||DFK0002089840|12770|Bierwjaczonek, Olgierd||||||||
|Bobowski, Zygmunt||0||DFK0007280364|12720|Bobowski, Zygmunt||||||||
|Błaźewicz, Olgierd||0||DFK0002782342|12662|Błaźewicz, Olgierd||||||||
Q1339|||0||DFK0001549617|1427|Bach, Johann Sebastian|||||1427|Johann Sebastian Bach||
|Beksiński, Zdisław||0||DFK0007730428|12573|Beksiński, Zdisław||||||||
|Buchs, Jørgen||0||DFK0005824746|12479|Buchs, Jørgen||||||||
|Butemsh, M.||0||DFK0007123824|13091|Butemsh, M.||||||||
|Boucher, François||0|yes|DFK0008893387|2668|Boucher, François||||||||
|Bojadshiew, Slatju||0||DFK0004882919|13076|Bojadshiew, Slatju||||||||
